Domain,RecordType,Label,ExpectedValue,TTL,Notes
contoso.com,MX,@,contoso-com.mail.protection.outlook.com,3600,Exchange Online MX record (replace with your tenant-specific value)
contoso.com,TXT,@,v=spf1 include:spf.protection.outlook.com -all,3600,SPF record for Exchange Online
contoso.com,CNAME,autodiscover,autodiscover.outlook.com,3600,Exchange Autodiscover
contoso.com,CNAME,selector1._domainkey,selector1-contoso-com._domainkey.contoso.onmicrosoft.com,3600,DKIM selector 1 (get actual value from Get-DkimSigningConfig)
contoso.com,CNAME,selector2._domainkey,selector2-contoso-com._domainkey.contoso.onmicrosoft.com,3600,DKIM selector 2 (get actual value from Get-DkimSigningConfig)
contoso.com,CNAME,enterpriseregistration,enterpriseregistration.windows.net,3600,Azure AD device registration
contoso.com,CNAME,enterpriseenrollment,enterpriseenrollment-s.manage.microsoft.com,3600,Intune/MDM enrollment
contoso.com,SRV,_sipfederationtls._tcp,100 1 5061 sipfed.online.lync.com,3600,Teams federation (only if federation enabled)
contoso.com,TXT,_dmarc,v=DMARC1; p=quarantine; rua=mailto:dmarc@contoso.com,3600,DMARC policy (customize to your needs)
contoso.com,TXT,_mta-sts,v=STSv1; id=20250106T000000,86400,MTA-STS policy indicator
